"X","ID","ID1","LATITUD","LONGITUD","COS_0.30","DA_0.30","COSkgm2","DEM","AnalyticalHillshading","Slope","Aspect","CrossSectionalCurvature","LongitudinalCurvature","CovergenceIndex","ClosedDepressions","FlowAccumulation","TopographicWetnessIndex","LSFactor","ChannelNetworkBaseLevel","VerticalDistanceToChannelNetwork","ValleyDepth","RelativeSlopePosition","DEMSRE3a","etmnts3a","evmmod3a","evsmod3a","g01igb3a","g02esa3a","g02igb3a","g03esa3a","g04esa3a","g04igb3a","g05esa3a","g06esa3a","g07esa3a","g10igb3a","g11esa3a","g11igb3a","g12igb3a","g13esa3a","g18esa3a","g21esa3a","gacgem3a","gachws3a","garhws3a","gchhws3a","gcmhws3a","geaisg3a","gflhws3a","gfrhws3a","gglhws3a","glcesa3a","glcjrc3a","glphws3a","glvhws3a","glwwwf3a","glxhws3a","gnthws3a","gplhws3a","grghws3a","gschws3a","gsnhws3a","gsthws3a","gvrhws3a","iflgre3a","inmsre3a","inssre3a","l02igb3a","l03igb3a","l04igb3a","l05igb3a","l06igb3a","l07igb3a","l08igb3a","l09igb3a","l10igb3a","l11igb3a","l12igb3a","l13igb3a","l14igb3a","l3pobi3b","lammod3a","lasmod3a","opisre3a","px1wcl3a","px2wcl3a","px3wcl3a","px4wcl3a","SLPSRT3a","smkisr3a","tdhmod3a","tdlmod3a","tdmmod3a","tdsmod3a","tnhmod3a","tnlmod3a","tnmmod3a","tnsmod3a","twisre3a","tx1mod3a","tx2mod3a","tx3mod3a","tx4mod3a","tx5mod3a","tx6mod3a","wmkmod3a"
3059,"Pri-807","Pri-807",-19.804,-58.3542,7.8,1.5393168,3.602001312,81.72222341,0.822656572,1.539367557,5.801521778,-1531.595459,-3148.800049,-18.48401833,-2.04e-06,0.001620577,-5.63198328,6.041909695,81.56046295,0.161758423,181.9988708,0.000887999,82,6346,4431,649,8,0,9,0,0,8,50,0,0,8,0,8,8,50,0,0,1373,0,0,0,0,72,100,0,0,130,1,0,0,4,0,0,0,0,0,0,0,0,0,34,20.73298836,0,0,0,0,0,0,80,20,0,0,0,0,0,1,22,9,1570,128,105,36,54,0,1,34,20,27,3,25,14,21,3,143,29,27,25,25,30,30,0
181,"Oci-62","Oci-62",-22.8175,-58.5675,8.106447665,1.536146905,3.735808348,98.55556102,1.354633808,1.563688874,0.479081899,-4958.564941,-6140.48291,-44.12029266,-3.77e-06,0.002308182,-6.765197754,6.48871851,98.06853485,0.4870224,90.57409668,0.005348302,99,4861,3789,779,5,0,8,0,0,4,0,75,0,8,0,4,4,25,0,0,426,0,0,0,0,72,0,0,0,130,1,0,0,0,0,0,25,0,15,35,0,25,0,34,20.73298836,0,0,40,20,0,0,40,0,0,0,0,0,0,1,19,7,1569,132,108,51,58,1,1,37,14,29,5,26,3,19,5,137,32,28,24,25,32,31,0
625,"Pri-1007","Pri-1007",-21.0185,-62.1048,9.4,1.5227664,4.294201248,320.9722196,2.354619503,1.564602971,2.348889112,-45.97961807,-781.071167,-0.023082223,9.41e-06,0.001109105,-7.403708935,5.870295048,295.5964661,25.37576294,0.432861328,0.983228028,321,1879,3166,976,4,0,4,0,0,4,0,100,0,4,0,4,4,0,0,0,984,0,45,0,0,72,0,0,0,50,2,0,0,0,0,0,25,30,0,0,0,0,1,34,20.99855995,0,0,100,0,0,0,0,0,0,0,0,0,0,7,16,12,1570,63,60,9,14,0,1,42,18,30,6,27,7,20,5,148,32,29,24,26,33,36,0
99,"Oci-190","Oci-190",-20.324722,-60.534167,10.25788223,1.513892466,4.658799187,184.7777762,2.275052547,1.556870103,2.76108861,-1818.491333,-2401.137451,-2.102258921,-5.2e-06,0.000973863,-7.14369154,5.257930756,183.2592468,1.51852417,48.18505859,0.030551603,185,2167,3476,896,4,0,4,0,0,4,0,100,0,4,0,4,4,0,0,0,747,0,0,0,0,20,0,0,0,50,1,100,0,0,0,0,0,0,0,0,0,0,0,34,20.85974693,0,0,100,0,0,0,0,0,0,0,0,0,0,7,18,13,1569,77,74,21,29,0,1,40,21,30,4,28,5,22,4,139,32,29,26,28,32,32,0
1760,"Pri-2047","Pri-2047",-23.4182,-59.0365,7.8,1.5393168,3.602001312,105.8888889,1.487360001,0.282040089,3.141592741,920.7998657,-2182.469727,12.49679852,0.671497703,0.000405375,-1.972746134,0.931306303,105.5382004,1.022186279,82.17987061,0.012285589,106,4432,3611,699,8,0,8,0,0,8,0,50,0,8,0,8,8,50,0,0,402,0,0,0,0,72,0,0,0,130,2,0,25,4,0,0,15,0,0,40,0,20,0,34,20.72121239,0,0,0,0,0,0,100,0,0,0,0,0,0,4,16,7,1569,111,105,39,51,0,1,38,17,30,5,24,5,19,5,138,34,31,26,24,32,32,0
436,"Ori-294","Ori-294",-26.7625,-55.145,13.31478011,1.482271915,5.920837381,243.2221599,0.894195318,1.570233583,5.014267445,8225.077148,129816.3828,-0.743807316,-7.2e-06,9.06e-05,-12.7275238,3.27019906,142.9028931,100.3192596,67.11477661,0.599156916,244,7141,3788,776,13,0,13,0,0,13,25,25,0,13,0,13,13,50,0,0,243,0,0,0,0,37,0,15,0,40,13,15,0,0,0,70,0,0,0,0,0,0,0,34,20.93084335,0,0,0,0,0,0,0,0,0,0,0,100,0,7,16,5,1566,138,130,126,122,5,2,45,14,28,7,23,3,16,4,109,33,29,24,19,25,33,0
187,"Oci-68","Oci-68",-22.913333,-61.44,6.790622246,1.549757803,3.157145945,188.8888898,1.811563611,1.55267477,1.134177208,-6488.242676,-3881.972168,-11.94463539,-4.33e-06,8.11e-05,-9.713027,2.983533621,188.0897675,0.799118042,13.77844238,0.054818366,189,1984,3676,958,4,0,4,0,0,4,0,100,0,4,0,4,4,0,0,0,458,0,0,0,20,72,15,0,0,50,18,0,0,0,0,0,0,15,0,50,0,0,0,34,20.85974693,0,0,100,0,0,0,0,0,0,0,0,0,0,7,21,14,1570,83,78,15,21,0,1,38,15,29,5,26,3,19,5,141,32,29,24,23,30,33,0
1047,"Pri-1390","Pri-1390",-22.5584,-58.9947,9.4,1.5227664,4.294201248,106.0000003,1.736987472,1.536509871,1.030374169,4818.526367,2938.700195,11.54549885,-2.91e-07,0.000143572,-7.968593121,3.720500469,104.5522766,1.447723389,78.92260742,0.018013157,106,4201,3609,725,8,0,9,0,0,9,0,50,0,8,0,4,4,50,0,0,591,0,0,0,0,72,0,0,0,130,2,0,25,4,0,0,15,0,0,40,0,20,0,34,20.73390007,0,0,20,0,0,0,40,40,0,0,0,0,0,1,18,7,1570,112,92,38,50,0,1,38,13,29,5,28,2,20,4,139,32,28,25,25,32,32,0
3250,"Pri-983","Pri-983",-20.8081,-60.3516,9.4,1.5227664,4.294201248,151.2222211,2.352170706,1.55993247,2.304962873,-1794.099731,-2674.699219,-1.060219884,-7.39e-06,0.001691562,-6.651685715,6.097382545,151.1960144,0.026199341,24.68615723,0.001060172,151,4575,3629,882,4,0,4,0,0,4,0,100,0,4,0,4,4,0,0,0,1965,0,15,0,40,72,0,0,0,50,2,0,0,0,0,0,0,30,0,15,0,0,1,34,20.77902603,0,0,100,0,0,0,0,0,0,0,0,0,0,4,14,7,1570,85,81,23,31,0,1,40,16,30,5,28,4,21,5,141,32,28,26,27,32,35,0
2685,"Pri-467","Pri-467",-26.0802,-55.9676,18.8,1.4255328,8.040004992,144.8055477,0.826385736,1.567809582,5.20498085,6746.327637,7294.639648,2.677067995,-5.69e-06,0.002068598,-7.741760731,6.348218441,139.1923218,5.613220215,262.7896729,0.020913411,144,7085,3839,601,14,0,14,75,0,8,0,0,0,14,0,14,14,25,0,0,263,50,0,0,0,82,0,0,15,130,13,0,0,0,35,0,0,0,0,0,0,0,0,34,20.75672531,0,0,0,0,0,0,20,0,0,0,0,0,80,7,17,6,1566,151,140,106,117,1,1,38,14,27,5,24,4,16,4,132,31,29,24,21,26,29,0
