ID,ID1,LATITUD,LONGITUD,COS_0.30,DA_0.30,COSkgm2,DEM,AnalyticalHillshading,Slope,Aspect,CrossSectionalCurvature,LongitudinalCurvature,CovergenceIndex,ClosedDepressions,FlowAccumulation,TopographicWetnessIndex,LSFactor,ChannelNetworkBaseLevel,VerticalDistanceToChannelNetwork,ValleyDepth,RelativeSlopePosition,DEMSRE3a,etmnts3a,evmmod3a,evsmod3a,g01igb3a,g02esa3a,g02igb3a,g03esa3a,g04esa3a,g04igb3a,g05esa3a,g06esa3a,g07esa3a,g10igb3a,g11esa3a,g11igb3a,g12igb3a,g13esa3a,g18esa3a,g21esa3a,gacgem3a,gachws3a,garhws3a,gchhws3a,gcmhws3a,geaisg3a,gflhws3a,gfrhws3a,gglhws3a,glcesa3a,glcjrc3a,glphws3a,glvhws3a,glwwwf3a,glxhws3a,gnthws3a,gplhws3a,grghws3a,gschws3a,gsnhws3a,gsthws3a,gvrhws3a,iflgre3a,inmsre3a,inssre3a,l02igb3a,l03igb3a,l04igb3a,l05igb3a,l06igb3a,l07igb3a,l08igb3a,l09igb3a,l10igb3a,l11igb3a,l12igb3a,l13igb3a,l14igb3a,l3pobi3b,lammod3a,ln1dms3a,opisre3a,px1wcl3a,px2wcl3a,px3wcl3a,px4wcl3a,SLPSRT3a,smkisr3a,tdhmod3a,tdlmod3a,tdmmod3a,tdsmod3a,tnhmod3a,tnlmod3a,tnmmod3a,tnsmod3a,twisre3a,tx1mod3a,tx2mod3a,tx3mod3a,tx4mod3a,tx5mod3a,tx6mod3a,wmkmod3a
Pri-769,Pri-769,-20.0565,-58.8375,7.8,1.5393168,3.6,97.86111005,0.838064909,1.378394604,5.043079376,2946.072021,1053.171143,13.20590973,0.029194515,0.003936062,-1.346084714,9.655562401,96.29844666,1.59185791,127.1760864,0.012362222,98,6258,4446,855,4,0,4,0,0,8,100,0,0,4,0,4,4,0,0,0,932,0,0,0,0,72,0,0,0,40,1,0,30,0,0,0,15,0,0,55,0,0,0,34,20.73390007,0,0,80,0,0,0,20,0,0,0,0,0,0,1,24,2,1570,118,107,30,50,0,1,36,21,28,4,25,12,21,3,142,30,26,25,26,31,31,0
Pri-770,Pri-770,-22.1274,-59.0097,7.8,1.5393168,3.6,106.1388898,0.998047948,1.545825005,6.204969883,1433.793213,-7263.13916,5.368383408,3.29E-06,0.000149945,-8.49925518,3.566290617,105.9668961,0.17199707,79.28692627,0.002164604,106,4027,3604,991,14,0,14,0,100,10,0,0,0,14,0,14,4,0,0,0,628,0,0,0,0,72,0,0,0,30,2,0,0,0,0,0,25,0,15,35,0,25,0,34,20.73390007,0,0,0,0,0,0,0,0,20,0,0,0,80,4,17,2,1570,107,88,35,49,0,1,39,15,29,6,25,13,21,3,138,33,28,26,25,34,35,0
Pri-776,Pri-776,-21.2014,-58.3318,9.4,1.5227664,4.29,88.47222128,2.298113108,1.537267804,2.677945137,-818.2313232,-955.4014893,-4.322689533,9.39E-08,0.58017689,1.541232705,25.03640556,88.47222137,0,148.9847412,0,88,4581,3391,789,8,0,8,75,0,8,0,0,0,10,0,10,10,25,0,0,735,0,0,0,0,72,0,0,0,20,15,0,0,4,0,0,25,0,15,35,0,25,0,34,20.70670128,0,0,0,0,0,0,60,0,40,0,0,0,0,1,15,2,1570,133,105,47,65,0,1,62,15,31,8,27,10,21,3,140,34,28,25,25,33,34,0
Pri-782,Pri-782,-22.1401,-58.9171,7.8,1.5393168,3.6,105.2499983,2.347522736,1.55153501,2.444334269,-478.4967041,-795.2581787,0.016549071,1.67E-06,0.000179941,-7.973151207,4.173911572,105.1825409,0.067459106,83.31738281,0.000809009,105,4836,3827,787,8,0,8,0,0,8,0,100,0,4,0,4,4,0,0,0,565,0,0,0,0,72,0,0,0,50,1,0,0,0,0,0,25,0,15,35,0,25,0,34,20.73390007,0,0,40,0,0,0,60,0,0,0,0,0,0,1,19,2,1570,112,91,38,52,0,1,35,15,29,5,25,10,20,4,138,32,28,25,25,32,34,0
Pri-796,Pri-796,-20.3516,-60.3932,9.4,1.5227664,4.29,333.4998478,1.39309144,1.570649981,4.179625034,74451.60156,-9430.992188,3.312782049,-4.23E-07,0.000275632,-12.96151924,4.085413456,172.3227081,161.1771393,51.58184814,0.757557392,345,2607,4051,1496,4,0,4,0,0,4,100,0,0,4,0,4,8,0,0,0,927,0,0,0,0,20,0,0,0,40,18,100,0,0,0,0,0,0,0,0,0,0,1,35,20.73981476,0,0,100,0,0,0,0,0,0,0,0,0,0,7,26,2,1556,81,78,21,31,16,1,38,19,30,4,28,8,23,3,118,31,27,25,27,34,31,0
Pri-81,Pri-81,-25.6931,-54.7219,13.55551755,1.479781727,6.02,208.5833477,2.353564501,1.569716573,2.287427664,-60708.6875,-46295.07422,-24.88993263,-4.19E-06,0.00010732,-12.12348747,3.239194155,173.6734161,34.90992737,156.5822144,0.182304755,216,9051,4062,1567,14,0,14,0,0,12,0,0,0,12,0,12,12,100,0,0,171,0,0,0,0,37,0,15,0,130,16,15,0,0,0,70,0,0,0,0,0,0,0,34,20.89269638,0,0,0,0,0,0,0,0,0,0,60,0,40,7,36,2,1564,155,143,123,129,3,1,39,10,28,7,22,2,16,5,114,31,31,26,20,27,34,0
Pri-810,Pri-810,-19.3256,-59.8203,10.2,1.5144912,4.63,180.1388814,2.316802502,1.567810655,2.637877464,-12223.19531,4433.888672,-4.546319008,4.09E-06,0.000243698,-9.880815506,4.138921261,147.2515717,32.88731384,2.494018555,0.929510355,181,9408,4292,972,8,0,8,25,0,8,75,0,0,4,0,8,4,0,0,0,1096,0,30,0,15,72,0,0,0,40,1,0,0,0,0,0,0,40,0,15,0,0,0,34,20.85974693,0,0,20,0,0,0,80,0,0,0,0,0,0,7,44,2,1569,113,110,28,44,1,1,36,22,29,4,27,16,22,3,138,29,27,26,27,32,32,0
Pri-816,Pri-816,-19.5786,-59.0498,9.4,1.5227664,4.29,273.7222049,2.214744091,1.569262862,2.912111521,6899.332031,13733.87109,1.208864927,-6.39E-06,0.000372533,-10.1227169,4.505589008,121.7383575,151.9838409,2.547424316,0.983515143,273,8213,4999,1003,4,0,8,0,0,8,100,0,0,4,0,4,4,0,0,0,709,0,0,0,0,72,0,0,0,40,16,0,0,0,40,0,0,60,0,0,0,0,0,34,20.94010925,0,0,60,0,0,0,40,0,0,0,0,0,0,7,27,2,1569,125,122,30,51,1,1,35,21,28,4,25,7,20,3,130,28,26,24,26,31,30,0
Pri-823,Pri-823,-20.3511,-59.2848,7.8,1.5393168,3.6,112.0555566,2.091788292,1.558031082,1.570796371,-938.5574341,-610.7345581,-0.444141895,6.25E-07,0.000236427,-8.715036392,3.907509565,110.6779556,1.377601624,68.06787109,0.019837169,112,5118,3872,852,8,0,4,0,0,4,100,0,0,4,0,4,4,0,0,0,1378,0,0,0,0,72,0,0,0,40,2,0,30,0,0,0,15,0,0,55,0,0,0,34,20.73390007,0,0,80,0,0,0,20,0,0,0,0,0,0,4,19,2,1570,107,101,27,45,0,1,38,23,31,4,28,8,21,4,141,31,27,25,27,32,34,0
Pri-830,Pri-830,-21.834,-58.6099,7.8,1.5393168,3.6,100.027779,2.272842169,1.561321616,1.942504168,1231.282471,-1442.87915,4.433924675,-3.69E-07,0.000152721,-9.193307877,3.769409895,99.25551605,0.772262573,106.7530518,0.007182146,100,6617,3967,939,4,0,4,0,0,8,0,100,0,4,0,4,4,0,0,0,627,0,0,0,0,72,0,0,0,50,1,0,0,0,0,0,25,0,15,35,0,25,0,34,20.73390007,0,0,80,0,0,0,20,0,0,0,0,0,0,1,17,2,1570,128,102,46,63,0,1,36,14,29,5,27,2,20,5,138,30,28,25,25,32,31,0
